Name,wins,losses,Win Points,Win Advantages,Win Submissions,Win Decision,Win Penalties,Win EBI / OT,Win DQ,Losses Points,Losses Advantages,Losses Submissions,Losses Decision,Losses Penalties,Losses EBI / OT,Losses DQ
Carlos Vieira Holanda “Esquisito”,22 WINS,18 LOSSES,16,3,1,2,0,0,0,5,7,3,2,0,0,1
Catriel Oliveira,13 WINS,2 LOSSES,9,0,4,0,0,0,0,0,0,1,1,0,0,0
Cássio Cardoso,7 WINS,0 LOSSES,5,0,2,0,0,0,0,0,0,0,0,0,0,0
Cleber Sousa,71 WINS,34 LOSSES,32,3,31,5,0,0,0,22,4,6,2,0,0,0
Celso “Celsinho” Venicius,57 WINS,26 LOSSES,32,7,10,7,0,0,0,7,8,2,7,1,0,1
Chad Hardy,23 WINS,9 LOSSES,3,0,19,0,0,0,1,3,0,6,0,0,0,0
Charles Negromonte,88 WINS,31 LOSSES,34,7,38,7,0,0,2,19,5,3,4,0,0,0
Clark Gracie,36 WINS,31 LOSSES,9,1,22,4,0,0,0,24,0,6,1,0,0,0
Claudio Calasans,132 WINS,55 LOSSES,52,24,41,8,5,0,2,29,4,13,6,1,0,2
Claudio Silva,6 WINS,0 LOSSES,2,0,3,1,0,0,0,0,0,0,0,0,0,0
Claudio Mattos “Caloquinha”,63 WINS,23 LOSSES,29,7,20,6,0,0,1,9,4,5,2,2,0,1
Cleito Soares Junior,12 WINS,4 LOSSES,7,3,1,0,1,0,0,2,0,1,0,0,0,1
Cole Franson,29 WINS,23 LOSSES,9,1,15,4,0,0,0,11,4,3,5,0,0,0
Craig Jones,51 WINS,16 LOSSES,2,0,41,6,0,2,0,6,0,3,1,2,4,0
Damion Oranday,22 WINS,17 LOSSES,2,2,18,0,0,0,0,5,2,9,1,0,0,0
Daniel Amorim Junior,11 WINS,6 LOSSES,6,0,5,0,0,0,0,1,1,3,0,1,0,0
Daniel Diniz,12 WINS,14 LOSSES,4,4,2,1,1,0,0,4,6,2,2,0,0,0
Daniel Maira,12 WINS,11 LOSSES,4,1,7,0,0,0,0,5,1,4,0,0,0,1
Daniel Maira,12 WINS,11 LOSSES,4,1,7,0,0,0,0,5,1,4,0,0,0,1
Daniel Moraes,80 WINS,22 LOSSES,57,3,14,4,1,0,0,15,2,2,1,0,0,2
Dan Borovic,12 WINS,5 LOSSES,1,0,10,0,1,0,0,4,0,1,0,0,0,0
Danilo Moreira,22 WINS,15 LOSSES,9,2,9,1,0,0,1,6,2,3,4,0,0,0
Dante Leon,87 WINS,38 LOSSES,21,7,54,5,0,0,0,15,4,9,10,0,0,0
Davi Cabral,25 WINS,8 LOSSES,13,0,11,1,0,0,0,3,1,4,0,0,0,0
Davi Ramos,47 WINS,28 LOSSES,17,1,26,3,0,0,0,13,3,7,3,0,0,2
David Garmo,59 WINS,39 LOSSES,8,2,44,4,0,0,1,13,3,19,2,0,2,0
David Terrell,9 WINS,1 LOSSES,6,0,2,0,1,0,0,0,0,0,1,0,0,0
Darragh O’Conaill,61 WINS,35 LOSSES,30,2,26,0,0,2,0,18,6,8,2,0,1,0
Dean Lister “The Boogeyman”,25 WINS,15 LOSSES,5,0,19,1,0,0,0,10,0,3,2,0,0,0
Demian Maia,24 WINS,11 LOSSES,13,2,7,1,1,0,0,6,2,1,1,1,0,0
Devhonte Johnson,57 WINS,26 LOSSES,22,7,13,14,1,0,0,7,3,4,9,2,0,1
Diego Ramalho,175 WINS,60 LOSSES,74,27,59,10,1,0,3,18,8,22,12,0,0,0
Diego “Pato” Oliveira,66 WINS,8 LOSSES,29,6,23,8,0,0,0,3,2,2,1,0,0,0
Diego Sodré,7 WINS,5 LOSSES,4,3,0,0,0,0,0,3,1,1,0,0,0,0
Dillon Danis,18 WINS,16 LOSSES,3,2,11,1,0,1,0,7,2,1,2,2,1,0
Diogo Sampaio “Moreno”,49 WINS,33 LOSSES,29,4,10,5,0,0,1,13,7,4,7,1,0,0
Diogo Reis,35 WINS,4 LOSSES,24,1,9,1,0,0,0,2,0,1,1,0,0,0
DJ Jackson,92 WINS,39 LOSSES,41,15,24,9,1,1,0,12,8,1,11,6,1,0
Deandre Corbe,34 WINS,16 LOSSES,11,4,15,4,0,0,0,12,0,3,1,0,0,0
Dominique Bell,32 WINS,9 LOSSES,10,5,17,0,0,0,0,4,2,0,3,0,0,0
